# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushingTimeUs,1760626500661000000,1760626560655000000,346917
IndexesFlusher.totalContentionQuotaSpent,1760626500661000000,1760626560655000000,0
IndexesFlusher.totalFlushes,1760626500661000000,1760626560655000000,59
writeAction.max.wait.ms,1760626500661000000,1760626560655000000,0
writeAction.median.wait.ms,1760626500661000000,1760626560655000000,0
writeAction.wait.ms,1760626500661000000,1760626560655000000,0
writeAction.count,1760626500661000000,1760626560655000000,0
DirectByteBufferAllocator.hits,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalPagesAllocated,1760626500661000000,1760626560655000000,0
StreamlinedBlobStorage.recordsRelocated,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1760626500661000000,1760626560655000000,0
FilePageCache.maxRegisteredFiles,1760626500661000000,1760626560655000000,531
FilePageCache.maxCacheSizeInBytes,1760626500661000000,1760626560655000000,199245824
StorageLockContext.competingThreads.max,1760626500661000000,1760626560655000000,0
FilePageCache.totalPageDisposalsUs,1760626500661000000,1760626560655000000,0
DirectByteBufferAllocator.misses,1760626500661000000,1760626560655000000,0
MappedFileStorage.totalPagesMapped,1760626500661000000,1760626560655000000,6
FilePageCache.uncachedFileAccess,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalBytesRequested,1760626500661000000,1760626560655000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1760626500661000000,1760626560655000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalPagesWritten,1760626500661000000,1760626560655000000,0
StreamlinedBlobStorage.recordsAllocated,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalPagesReadMs,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalPagesHandedOver,1760626500661000000,1760626560655000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1760626500661000000,1760626560655000000,11076
FilePageCacheLockFree.housekeeperTurnsDone,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1760626500661000000,1760626560655000000,0
DirectByteBufferAllocator.disposed,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1760626500661000000,1760626560655000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.nativeBytesInUse,1760626500661000000,1760626560655000000,0
FilePageCache.pageFastCacheHits,1760626500661000000,1760626560655000000,0
FilePageCache.disposedBuffers,1760626500661000000,1760626560655000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalBytesWritten,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalBytesRead,1760626500661000000,1760626560655000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1760626500661000000,1760626560655000000,0
